Freq.	-V(out)/I(Vtest)
1.75321144263208e+01	1.08579393625265e+02,-9.05895276136396e+02
1.76540599258132e+01	1.08466299205308e+02,-8.99638819552091e+02
1.77768536233315e+01	1.08354761538763e+02,-8.93425558515394e+02
1.79005014185596e+01	1.08244759200199e+02,-8.87255195084148e+02
1.80250092522167e+01	1.08136271058975e+02,-8.81127433365363e+02
1.81503831063433e+01	1.08029276275175e+02,-8.75041979501240e+02
1.82766290045881e+01	1.07923754295615e+02,-8.68998541655292e+02
1.84037530124976e+01	1.07819684849900e+02,-8.62996829998560e+02
1.85317612378075e+01	1.07717047946539e+02,-8.57036556695914e+02
1.86606598307363e+01	1.07615823869102e+02,-8.51117435892450e+02
1.87904549842804e+01	1.07515993172445e+02,-8.45239183699977e+02
1.89211529345120e+01	1.07417536678978e+02,-8.39401518183591e+02
1.90527599608789e+01	1.07320435474978e+02,-8.33604159348341e+02
1.91852823865054e+01	1.07224670906973e+02,-8.27846829125986e+02
1.93187265784970e+01	1.07130224578155e+02,-8.22129251361834e+02
1.94530989482458e+01	1.07037078344851e+02,-8.16451151801672e+02
1.95884059517387e+01	1.06945214313045e+02,-8.10812258078790e+02
1.97246540898673e+01	1.06854614834939e+02,-8.05212299701077e+02
1.98618499087409e+01	1.06765262505573e+02,-7.99651008038218e+02
2.00000000000001e+01	1.06677140159482e+02,-7.94128116308964e+02
2.01391110011345e+01	1.06590230867402e+02,-7.88643359568499e+02
2.02791895958007e+01	1.06504517933022e+02,-7.83196474695884e+02
2.04202425141440e+01	1.06419984889781e+02,-7.77787200381584e+02
2.05622765331215e+01	1.06336615497708e+02,-7.72415277115085e+02
2.07052984768277e+01	1.06254393740302e+02,-7.67080447172587e+02
2.08493152168226e+01	1.06173303821465e+02,-7.61782454604786e+02
2.09943336724615e+01	1.06093330162463e+02,-7.56521045224732e+02
2.11403608112278e+01	1.06014457398942e+02,-7.51295966595771e+02
2.12874036490674e+01	1.05936670377974e+02,-7.46106968019571e+02
2.14354692507260e+01	1.05859954155159e+02,-7.40953800524222e+02
2.15845647300887e+01	1.05784293991740e+02,-7.35836216852421e+02
2.17346972505213e+01	1.05709675351796e+02,-7.30753971449735e+02
2.18858740252150e+01	1.05636083899429e+02,-7.25706820452940e+02
2.20381023175324e+01	1.05563505496028e+02,-7.20694521678444e+02
2.21913894413571e+01	1.05491926197552e+02,-7.15716834610784e+02
2.23457427614446e+01	1.05421332251854e+02,-7.10773520391202e+02
2.25011696937764e+01	1.05351710096032e+02,-7.05864341806292e+02
2.26576777059162e+01	1.05283046353841e+02,-7.00989063276737e+02
2.28152743173687e+01	1.05215327833112e+02,-6.96147450846106e+02
2.29739670999409e+01	1.05148541523232e+02,-6.91339272169739e+02
2.31337636781060e+01	1.05082674592634e+02,-6.86564296503699e+02
2.32946717293693e+01	1.05017714386343e+02,-6.81822294693802e+02
2.34566989846378e+01	1.04953648423539e+02,-6.77113039164722e+02
2.36198532285908e+01	1.04890464395173e+02,-6.72436303909164e+02
2.37841423000546e+01	1.04828150161588e+02,-6.67791864477120e+02
2.39495740923788e+01	1.04766693750203e+02,-6.63179497965185e+02
2.41161565538154e+01	1.04706083353208e+02,-6.58598983005955e+02
2.42838976879012e+01	1.04646307325293e+02,-6.54050099757495e+02
2.44528055538416e+01	1.04587354181423e+02,-6.49532629892872e+02
2.46228882668986e+01	1.04529212594623e+02,-6.45046356589768e+02
2.47941539987800e+01	1.04471871393808e+02,-6.40591064520155e+02
2.49666109780325e+01	1.04415319561642e+02,-6.36166539840045e+02
2.51402674904368e+01	1.04359546232411e+02,-6.31772570179307e+02
2.53151318794059e+01	1.04304540689948e+02,-6.27408944631553e+02
2.54912125463855e+01	1.04250292365573e+02,-6.23075453744097e+02
2.56685179512583e+01	1.04196790836060e+02,-6.18771889507972e+02
2.58470566127501e+01	1.04144025821640e+02,-6.14498045348026e+02
2.60268371088389e+01	1.04091987184026e+02,-6.10253716113078e+02
2.62078680771675e+01	1.04040664924463e+02,-6.06038698066139e+02
2.63901582154582e+01	1.03990049181814e+02,-6.01852788874710e+02
2.65737162819305e+01	1.03940130230662e+02,-5.97695787601133e+02
2.67585510957225e+01	1.03890898479442e+02,-5.93567494693016e+02
2.69446715373141e+01	1.03842344468605e+02,-5.89467711973718e+02
2.71320865489537e+01	1.03794458868796e+02,-5.85396242632904e+02
2.73208051350882e+01	1.03747232479066e+02,-5.81352891217156e+02
2.75108363627952e+01	1.03700656225101e+02,-5.77337463620655e+02
2.77021893622188e+01	1.03654721157483e+02,-5.73349767075927e+02
2.78948733270084e+01	1.03609418449971e+02,-5.69389610144643e+02
2.80888975147603e+01	1.03564739397808e+02,-5.65456802708490e+02
2.82842712474622e+01	1.03520675416042e+02,-5.61551155960102e+02
2.84810039119418e+01	1.03477218037884e+02,-5.57672482394050e+02
2.86791049603169e+01	1.03434358913086e+02,-5.53820595797898e+02
2.88785839104503e+01	1.03392089806323e+02,-5.49995311243313e+02
2.90794503464066e+01	1.03350402595626e+02,-5.46196445077243e+02
2.92817139189129e+01	1.03309289270818e+02,-5.42423814913149e+02
2.94853843458224e+01	1.03268741931969e+02,-5.38677239622301e+02
2.96904714125813e+01	1.03228752787885e+02,-5.34956539325131e+02
2.98969849726991e+01	1.03189314154616e+02,-5.31261535382643e+02
3.01049349482217e+01	1.03150418453971e+02,-5.27592050387888e+02
3.03143313302083e+01	1.03112058212068e+02,-5.23947908157490e+02
3.05251841792116e+01	1.03074226057894e+02,-5.20328933723233e+02
3.07375036257606e+01	1.03036914721895e+02,-5.16734953323704e+02
3.09512998708482e+01	1.03000117034585e+02,-5.13165794395996e+02
3.11665831864204e+01	1.02963825925145e+02,-5.09621285567464e+02
3.13833639158704e+01	1.02928034420096e+02,-5.06101256647538e+02
3.16016524745355e+01	1.02892735641939e+02,-5.02605538619594e+02
3.18214593501972e+01	1.02857922807841e+02,-4.99133963632879e+02
3.20427951035853e+01	1.02823589228332e+02,-4.95686364994489e+02
3.22656703688855e+01	1.02789728306021e+02,-4.92262577161404e+02
3.24900958542498e+01	1.02756333534320e+02,-4.88862435732579e+02
3.27160823423117e+01	1.02723398496212e+02,-4.85485777441085e+02
3.29436406907034e+01	1.02690916863003e+02,-4.82132440146307e+02
3.31727818325781e+01	1.02658882393112e+02,-4.78802262826192e+02
3.34035167771352e+01	1.02627288930870e+02,-4.75495085569556e+02
3.36358566101490e+01	1.02596130405344e+02,-4.72210749568433e+02
3.38698124945015e+01	1.02565400829162e+02,-4.68949097110488e+02
3.41053956707187e+01	1.02535094297369e+02,-4.65709971571474e+02
3.43426174575106e+01	1.02505204986291e+02,-4.62493217407744e+02
3.45814892523151e+01	1.02475727152415e+02,-4.59298680148812e+02
3.48220225318454e+01	1.02446655131290e+02,-4.56126206389969e+02
3.50642288526419e+01	1.02417983336431e+02,-4.52975643784940e+02
3.53081198516267e+01	1.02389706258259e+02,-4.49846841038606e+02
3.55537072466633e+01	1.02361818463026e+02,-4.46739647899762e+02
3.58010028371194e+01	1.02334314591786e+02,-4.43653915153929e+02
3.60500185044337e+01	1.02307189359353e+02,-4.40589494616222e+02
3.63007662126869e+01	1.02280437553303e+02,-4.37546239124256e+02
3.65532580091765e+01	1.02254054032949e+02,-4.34524002531106e+02
3.68075060249955e+01	1.02228033728376e+02,-4.31522639698315e+02
3.70635224756154e+01	1.02202371639454e+02,-4.28542006488953e+02
3.73213196614728e+01	1.02177062834880e+02,-4.25581959760712e+02
3.75809099685610e+01	1.02152102451233e+02,-4.22642357359066e+02
3.78423058690244e+01	1.02127485692039e+02,-4.19723058110460e+02
3.81055199217581e+01	1.02103207826849e+02,-4.16823921815557e+02
3.83705647730111e+01	1.02079264190328e+02,-4.13944809242529e+02
3.86374531569944e+01	1.02055650181366e+02,-4.11085582120390e+02
3.89061978964920e+01	1.02032361262180e+02,-4.08246103132381e+02
3.91768119034777e+01	1.02009392957462e+02,-4.05426235909393e+02
3.94493081797350e+01	1.01986740853505e+02,-4.02625845023442e+02
