Freq.	V(out)
1.51571656651040e+01	6.57263048047806e-03,-6.44955508835883e-05
1.52625920896057e+01	6.57262327634063e-03,-6.44578384192830e-05
1.53687518128802e+01	6.57261612042584e-03,-6.44232210915043e-05
1.54756499354240e+01	6.57260901135919e-03,-6.43916972638955e-05
1.55832915932101e+01	6.57260194777510e-03,-6.43632654479735e-05
1.56916819579351e+01	6.57259492831671e-03,-6.43379243030697e-05
1.58008262372676e+01	6.57258795163567e-03,-6.43156726362764e-05
1.59107296750984e+01	6.57258101639182e-03,-6.42965094024001e-05
1.60213975517925e+01	6.57257412125274e-03,-6.42804337039187e-05
1.61328351844426e+01	6.57256726489411e-03,-6.42674447909555e-05
1.62450479271248e+01	6.57256044599894e-03,-6.42575420612481e-05
1.63580411711557e+01	6.57255366325707e-03,-6.42507250601244e-05
1.64718203453515e+01	6.57254691536572e-03,-6.42469934805008e-05
1.65863909162889e+01	6.57254020102844e-03,-6.42463471628653e-05
1.67017583885675e+01	6.57253351895555e-03,-6.42487860952873e-05
1.68179283050744e+01	6.57252686786315e-03,-6.42543104134172e-05
1.69349062472506e+01	6.57252024647396e-03,-6.42629204005120e-05
1.70526978353592e+01	6.57251365351555e-03,-6.42746164874407e-05
1.71713087287552e+01	6.57250708772156e-03,-6.42893992527277e-05
1.72907446261574e+01	6.57250054783063e-03,-6.43072694225794e-05
1.74110112659226e+01	6.57249403258628e-03,-6.43282278709271e-05
1.75321144263208e+01	6.57248754073684e-03,-6.43522756194773e-05
1.76540599258132e+01	6.57248107103551e-03,-6.43794138377700e-05
1.77768536233315e+01	6.57247462223877e-03,-6.44096438432282e-05
1.79005014185596e+01	6.57246819310816e-03,-6.44429671012462e-05
1.80250092522167e+01	6.57246178240848e-03,-6.44793852252512e-05
1.81503831063433e+01	6.57245538890775e-03,-6.45188999767866e-05
1.82766290045881e+01	6.57244901137821e-03,-6.45615132656158e-05
1.84037530124976e+01	6.57244264859420e-03,-6.46072271497986e-05
1.85317612378075e+01	6.57243629933367e-03,-6.46560438358131e-05
1.86606598307363e+01	6.57242996237643e-03,-6.47079656786504e-05
1.87904549842804e+01	6.57242363650520e-03,-6.47629951819444e-05
1.89211529345120e+01	6.57241732050458e-03,-6.48211349980895e-05
1.90527599608789e+01	6.57241101316121e-03,-6.48823879283733e-05
1.91852823865054e+01	6.57240471326321e-03,-6.49467569231141e-05
1.93187265784970e+01	6.57239841960041e-03,-6.50142450818079e-05
1.94530989482458e+01	6.57239213096331e-03,-6.50848556532738e-05
1.95884059517387e+01	6.57238584614407e-03,-6.51585920358243e-05
1.97246540898673e+01	6.57237956393477e-03,-6.52354577774166e-05
1.98618499087409e+01	6.57237328312878e-03,-6.53154565758409e-05
2.00000000000001e+01	6.57236700251920e-03,-6.53985922788867e-05
2.01391110011345e+01	6.57236072089968e-03,-6.54848688845405e-05
2.02791895958007e+01	6.57235443706289e-03,-6.55742905411666e-05
2.04202425141440e+01	6.57234814980182e-03,-6.56668615477215e-05
2.05622765331215e+01	6.57234185790840e-03,-6.57625863539530e-05
2.07052984768277e+01	6.57233556017375e-03,-6.58614695606163e-05
2.08493152168226e+01	6.57232925538797e-03,-6.59635159196993e-05
2.09943336724615e+01	6.57232294233981e-03,-6.60687303346480e-05
2.11403608112278e+01	6.57231661981595e-03,-6.61771178605983e-05
2.12874036490674e+01	6.57231028660223e-03,-6.62886837046336e-05
2.14354692507260e+01	6.57230394148127e-03,-6.64034332260136e-05
2.15845647300887e+01	6.57229758323424e-03,-6.65213719364506e-05
2.17346972505213e+01	6.57229121063961e-03,-6.66425055003637e-05
2.18858740252150e+01	6.57228482247292e-03,-6.67668397351515e-05
