Freq.	-V(in)/I(Vsource)	V(out)
1.72907446261574e+01	3.33292459012110e+06,-5.08117844154034e+03	9.90843151718457e-01,9.29362207454940e-03
1.74110112659226e+01	3.33292449836490e+06,-5.11084602490012e+03	9.90844328619738e-01,9.22943672396781e-03
1.75321144263208e+01	3.33292440533811e+06,-5.14075915774746e+03	9.90845489320980e-01,9.16569451032269e-03
1.76540599258132e+01	3.33292431102287e+06,-5.17091927079886e+03	9.90846634045161e-01,9.10239237717681e-03
1.77768536233315e+01	3.33292421540104e+06,-5.20132782126526e+03	9.90847763012124e-01,9.03952728911087e-03
1.79005014185596e+01	3.33292411845423e+06,-5.23198627117337e+03	9.90848876438759e-01,8.97709623158166e-03
1.80250092522167e+01	3.33292402016382e+06,-5.26289608977433e+03	9.90849974538960e-01,8.91509621077888e-03
1.81503831063433e+01	3.33292392051093e+06,-5.29405875836114e+03	9.90851057523640e-01,8.85352425348358e-03
1.82766290045881e+01	3.33292381947639e+06,-5.32547578472114e+03	9.90852125600854e-01,8.79237740692838e-03
1.84037530124976e+01	3.33292371704080e+06,-5.35714866700475e+03	9.90853178975767e-01,8.73165273865752e-03
1.85317612378075e+01	3.33292361318446e+06,-5.38907893467414e+03	9.90854217850742e-01,8.67134733638850e-03
1.86606598307363e+01	3.33292350788743e+06,-5.42126811718945e+03	9.90855242425321e-01,8.61145830787407e-03
1.87904549842804e+01	3.33292340112945e+06,-5.45371776327874e+03	9.90856252896354e-01,8.55198278076627e-03
1.89211529345120e+01	3.33292329289001e+06,-5.48642943371171e+03	9.90857249457913e-01,8.49291790247948e-03
1.90527599608789e+01	3.33292318314831e+06,-5.51940469648216e+03	9.90858232301495e-01,8.43426084005706e-03
1.91852823865054e+01	3.33292307188327e+06,-5.55264513644293e+03	9.90859201615863e-01,8.37600878003542e-03
1.93187265784970e+01	3.33292295907350e+06,-5.58615234807960e+03	9.90860157587254e-01,8.31815892831264e-03
1.94530989482458e+01	3.33292284469731e+06,-5.61992794996291e+03	9.90861100399299e-01,8.26070851001503e-03
1.95884059517387e+01	3.33292272873273e+06,-5.65397355584382e+03	9.90862030233121e-01,8.20365476936647e-03
1.97246540898673e+01	3.33292261115746e+06,-5.68829080837582e+03	9.90862947267356e-01,8.14699496955767e-03
1.98618499087409e+01	3.33292249194894e+06,-5.72288134539253e+03	9.90863851678153e-01,8.09072639261640e-03
2.00000000000001e+01	3.33292237108422e+06,-5.75774684085620e+03	9.90864743639271e-01,8.03484633927921e-03
2.01391110011345e+01	3.33292224854010e+06,-5.79288896150038e+03	9.90865623322105e-01,7.97935212886350e-03
2.02791895958007e+01	3.33292212429300e+06,-5.82830940296093e+03	9.90866490895597e-01,7.92424109913948e-03
2.04202425141440e+01	3.33292199831906e+06,-5.86400986327982e+03	9.90867346526439e-01,7.86951060620554e-03
2.05622765331215e+01	3.33292187059409e+06,-5.89999205013135e+03	9.90868190378996e-01,7.81515802436177e-03
2.07052984768277e+01	3.33292174109351e+06,-5.93625770490941e+03	9.90869022615411e-01,7.76118074598634e-03
2.08493152168226e+01	3.33292160979245e+06,-5.97280856177892e+03	9.90869843395541e-01,7.70757618141083e-03
